ORDER_NO,MATERIAL_NO,TYPE,DUE_DATE,QTY,PROCESS_TIME,UNIT,MOLD_REQUIRED_QTY
1001,MAT-001,T-001,2026/05/06 12:00:00,4,28800,Seconds,1
1002,MAT-002,T-001,2026/05/07 08:00:00,5,32400,Seconds,2
1003,MAT-003,T-001,2026/05/08 08:00:00,6,36000,Seconds,1
1004,MAT-004,T-001,2026/05/09 08:00:00,7,39600,Seconds,2
1005,MAT-005,T-002,2026/05/06 18:00:00,6,36000,Seconds,1
1006,MAT-006,T-002,2026/05/07 12:00:00,7,39600,Seconds,2
1007,MAT-007,T-002,2026/05/08 12:00:00,8,43200,Seconds,1
1008,MAT-008,T-002,2026/05/09 12:00:00,9,46800,Seconds,3
1009,MAT-003,T-003,2026/05/07 08:00:00,8,43200,Seconds,2
1010,MAT-009,T-003,2026/05/08 08:00:00,9,46800,Seconds,3
1011,MAT-010,T-003,2026/05/09 08:00:00,10,50400,Seconds,2
1012,MAT-011,T-003,2026/05/10 08:00:00,11,54000,Seconds,1
1013,MAT-001,T-004,2026/05/07 18:00:00,10,50400,Seconds,1
1014,MAT-012,T-004,2026/05/08 18:00:00,11,54000,Seconds,2
1015,MAT-005,T-004,2026/05/09 18:00:00,12,57600,Seconds,3
1016,MAT-012,T-004,2026/05/10 18:00:00,13,61200,Seconds,2
1017,MAT-012,T-005,2026/05/08 12:00:00,12,57600,Seconds,2
1019,MAT-010,T-005,2026/05/10 12:00:00,14,64800,Seconds,2
1020,MAT-008,T-005,2026/05/11 12:00:00,15,68400,Seconds,1
1021,MAT-004,T-006,2026/05/08 18:00:00,14,64800,Seconds,1
1022,MAT-009,T-006,2026/05/09 18:00:00,15,68400,Seconds,2
1025,MAT-011,T-007,2026/05/09 12:00:00,4,28800,Seconds,1
1026,MAT-002,T-007,2026/05/10 12:00:00,5,32400,Seconds,2
1027,MAT-001,T-007,2026/05/11 12:00:00,6,36000,Seconds,1
